ipl_error_eng.bmg,0x33A700,0x3E0
ipl_error_fra.bmg,0x33AAE0,0x420
ipl_error_ger.bmg,0x33AF00,0x460
ipl_error_ita.bmg,0x33B360,0x460
ipl_error_jpn.bmg,0x33B7C0,0x280
ipl_error_ned.bmg,0x33BA40,0x3A0
ipl_error_spa.bmg,0x33BDE0,0x420
ipl_error_kor.bmg,0x33C200,0x220
ipl_error_chn.bmg,0x33C420,0x1C0
fatalDlg.ash,0x33C5E0,0x5A08
backToWiiMenu.arc,0x3495E0,0x2720
